Date,Loyalty Number (0=Not on scheme),Basket
1,0,"['Fresh Fruit Juice', 'Bananas', 'Fresh Milk', 'Fresh Pasta', 'Fresh Pizza', 'Fresh Flowers', 'Tinned Fruit', 'Oil', 'Cous cous', 'Vinegar', 'Jam']"
1,0,"['Christmas Cards', 'Blu Ray', 'Computer', 'Pitta', 'Croissant', 'Crumpet', 'Sweet Treats', 'Sports and Energy', 'Coffee', 'Fresh Beef', 'Fresh Pasta', 'Fresh Flowers', 'Soup', 'Oil', 'Vinegar', 'Icing Sugar']"
1,0,"['Christmas Cards', 'Utensils', 'Glasses', 'Naan', 'Croissant', 'Fresh Beef', 'Fresh Pasta', 'Fresh Flowers', 'Soup', 'Vinegar']"
1,0,['Bagel']
1,4299945384,"['Christmas Cards', 'Bagel', 'Pitta', 'Croissant', 'Sweet Treats', 'Cake', 'Lemonade', 'Sports and Energy', 'Still Water', 'Fresh Fruit Juice']"
1,4299945312,"['Computer', 'Sweet Treats', 'Cake', 'Lemonade', 'Sports and Energy', 'Still Water', 'Fresh Beef', 'Fresh Pasta', 'Fresh Flowers']"
1,0,"['Bagel', 'Eggs']"
1,4299945312,"['Blu Ray', 'Utensils', 'Pitta', 'Naan', 'Cake', 'Sports and Energy', 'Still Water', 'Tea', 'Coffee', 'Fresh Milk', 'Fresh Pizza', 'Pickles']"
1,0,"['Pitta', 'Naan', 'Fresh Milk', 'Fresh Beef', 'Dried Fruit and Nuts', 'Tinned Fruit', 'Pickles', 'Jam']"
1,4299945384,"['Christmas Cards', 'Utensils', 'Naan', 'Cake', 'Sports and Energy']"
1,4299945240,"['Naan', 'Fresh Beef', 'Fresh Fish', 'Oil', 'Pickles', 'Jam']"
1,4299945312,"['Glasses', 'Cake', 'Fresh Flowers', 'Cous cous', 'Olives']"
1,4299945240,"['Bagel', 'Fresh Fruit Juice', 'Eggs', 'Fresh Beef', 'Fresh Pizza', 'Dried Fruit and Nuts', 'Soup', 'Tinned Fruit', 'Pickles', 'Icing Sugar']"
1,4299945240,"['Still Water', 'Fresh Milk', 'Fresh Beef', 'Fresh Fish', 'Tinned Fruit', 'Pickles', 'Flour']"
1,0,"['Blu Ray', 'Pitta', 'Sweet Treats', 'Fresh Fruit Juice', 'Fresh Pizza', 'Soup', 'Cous cous', 'Icing Sugar']"
1,4299945384,"['Computer', 'Naan', 'Lemonade', 'Sports and Energy', 'Olives', 'Pickles']"
1,0,"['Blu Ray', 'Naan', 'Lemonade', 'Fresh Fruit Juice', 'Bananas', 'Fresh Pizza']"
